,Año,Trimestre,Mbps (Media de bajada),Año_Trimestre
0,2022,3,"62,46",2022-07-01
1,2022,2,"58,44",2022-04-01
2,2022,1,"55,11",2022-01-01
3,2021,4,"52,34",2021-10-01
4,2021,3,"48,46",2021-07-01
5,2021,2,"45,63",2021-04-01
6,2021,1,"43,11",2021-01-01
7,2020,4,"42,36",2020-10-01
8,2020,3,"40,67",2020-07-01
9,2020,2,"38,32",2020-04-01
10,2020,1,"37,52",2020-01-01
11,2019,4,"28,26",2019-10-01
12,2019,3,"24,18",2019-07-01
13,2019,2,"20,33",2019-04-01
14,2019,1,"17,38",2019-01-01
15,2018,4,"15,95",2018-10-01
16,2018,3,"15,36",2018-07-01
17,2018,2,"13,85",2018-04-01
18,2018,1,"13,22",2018-01-01
19,2017,4,"12,01",2017-10-01
20,2017,3,"8,34",2017-07-01
21,2017,2,"7,16",2017-04-01
22,2017,1,"6,62",2017-01-01
23,2016,4,"6,34",2016-10-01
24,2016,3,"5,94",2016-07-01
25,2016,2,"5,42",2016-04-01
26,2016,1,"5,08",2016-01-01
27,2015,4,"4,99",2015-10-01
28,2015,3,"4,79",2015-07-01
29,2015,2,"4,55",2015-04-01
30,2015,1,"4,35",2015-01-01
31,2014,4,"4,16",2014-10-01
32,2014,3,"3,87",2014-07-01
33,2014,2,"3,76",2014-04-01
34,2014,1,"3,62",2014-01-01
